시군구,구분,총인구,세대수,내국인계,내국인남,내국인여,등록외국인
합계,소계,14253784,6181804,13768157,6911412,6856745,485627
수원시,소계,1224223,545684,1185332,594755,590577,38891
용인시,소계,1111615,450846,1090559,540293,550266,21056
성남시,소계,918609,408930,901110,444821,456289,17499
화성시,소계,1055053,433881,999673,517832,481841,55380
부천시,소계,786328,344211,754851,371356,383495,31477
안산시,소계,657770,289303,608883,311771,297112,48887
평택시,소계,657831,300057,620754,326607,294147,37077
안양시,소계,569326,241037,562143,276922,285221,7183
시흥시,소계,554036,231842,514996,268039,246957,39040
김포시,소계,510211,208141,483964,241255,242709,26247
광주시,소계,415667,178187,400323,203698,196625,15344
광명시,소계,306658,127978,303726,148649,155077,2932
하남시,소계,329962,141070,327423,162329,165094,2539
군포시,소계,254919,111774,249253,123460,125793,5666
오산시,소계,266041,118489,254747,133012,121735,11294
이천시,소계,237798,110104,225911,118104,107807,11887
안성시,소계,214692,99268,199314,103176,96138,15378
의왕시,소계,166814,68637,165701,81741,83960,1113
양평군,소계,129118,64048,126995,63925,63070,2123
여주시,소계,120169,57155,113383,57822,55561,6786
과천시,소계,81272,29667,81008,39448,41560,264
고양시,소계,1071664,468484,1057166,513816,543350,14498
남양주시,소계,737564,309475,727373,359094,368279,10191
파주시,소계,551385,238154,534503,268854,265649,16882
의정부시,소계,470382,214000,461879,226492,235387,8503
양주시,소계,308056,133463,297352,149266,148086,10704
구리시,소계,189817,83427,188040,93078,94962,1777
포천시,소계,157762,74417,140454,74358,66096,17308
동두천시,소계,90610,43811,86186,42914,43272,4424
가평군,소계,63462,33311,62048,31881,30167,1414
연천군,소계,44970,22953,43107,22644,20463,1863
